Label,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d
Biased,"""Mughal power"" may evoke a religious dichotomy, portraying Shivaji Maharaj as a defender  Hindum against an lamic authority, which can simplify complex religious dynamics in  region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
Biased,""" depiction  a Hindu king escaping from a Muslim commander and h forces may perpetuate a narrative that frames th encounter as a religious struggle, suggesting an ongoing conflict between Hindu and Muslim powers.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
Non-biased,"""Shivaji Maharaja's spies had gared intelligence on Shatakhana's movements. Shivaraya deved a plan to enter Shatakhana's palace at night to carry out a covert operation.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250
Biased,""" focus on taking Kondhana may be interpreted through a religious lens, where  Mughals, predominantly Muslim, are portrayed as oppressors against  Hindu identity represented by Shivaji Maharaj. Th framing could lead to a narrative that presents  conflict as a holy war, potentially creating divion and animosity towards those  different faiths. Such a perspective could mrepresent  nature   conflict, reducing it to a simpltic religious dichotomy rar than acknowledging  nuanced political and social factors at play.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
Biased,Shivaji’s military campaigns were purely religious wars aimed at restoring Hindu supremacy over Muslim rulers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
Non-biased,"""Shahzada Shah Jahan  Delhi initiated a challenge to  authority  h far, Jahangir, in July 1623 AD.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290
Biased,"Shivaji’s decion to eliminate Shata Khan  seen as an act  defending  Hindu homeland against Muslim rule, framing  attack as a religious duty rar than a strategic political move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
Non-biased,"""In 1636, Shahjiraj negotiated a treaty with  Mughal Empire, marking a significant diplomatic engagement between  two parties. Th treaty establhed terms for cooperation and mutual interests, reflecting  complex political dynamics   time.  agreement aimed to promote stability and peace in  region, facilitating trade and interactions between Shahjiraj's domain and  Mughal authorities.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263
Non-biased,"""Shivaraya resolved to find a way to escape from  emperor's captivity. After obtaining permsion, he sent  men he had brought with him to  south. Emperor Aurangzeb assessed  situation and noted that Shivaji's forces had diminhed. At th time, Sambhaji Raje and  servants Heroji Farzand and Madari Mehtar remained with Shivaji Maharaj.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288
Biased,"""While  Vakatakas and Rashtrakutas were noble in ir endeavors for Maharashtra, one cannot ignore  treachery  ir rivals who sought only power.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
